10005	204626	50	647.7934
10010	93452	80	363.881632
10015	205624	80	569.3734
10020	170087	80	898.7374
10025	166480	50	1290.8374
10030	194937	80	1502.5714
10035	170112	80	1573.1494
10040	167894	80	1824.0934
10045	229788	80	1957.4074
10050	165067	80	2483.04413
10055	231132	50	1758.59013
10060	224964	50	2569.781748
10065	207706	200	2191.68763
10070	217337	200	2200.672435
10075	209383	50	3263.40708
10080	219865	80	3587.962472
10085	224263	50	3459.48213
10090	229786	50	2255.74108
10095	229785	50	2369.62108
10100	217338	80	2614.54108
10105	211334	80	6980.17108
11005	216400	50	7398.93415
15005	188627	50	6968.074
15010	188913	50	13448.074
15015	199544	50	17093.074
20005	144592	50	305.578136
20010	144593	50	402.270258
20015	144594	50	549.081116
20020	78223	50	423.358834
20025	78224	50	697.75224
20030	78225	50	751.574824
20035	190733	50	1038.31439
20040	190734	50	1252.011404
20045	223770	50	1521.48303
20050	163430	50	1515.1014
20055	144597	50	1685.378304
20060	144598	50	2249.1974
20065	163032	25	5168.8974
20070	163033	25	7921.7574
20075	163034	25	8338.8574
20080	81070	25	534.148936
20085	78229	25	109.17192
20090	200688	25	509.0874
20095	81071	5	117.246976
30005	67463	50	153.7474
30010	67464	50	244.706758
30015	158976	50	255.6934
30020	183407	50	271.3774
30025	196541	50	271.3774
30030	183408	50	365.4814
30035	196543	50	373.3234
30040	67467	50	349.7974
30045	158305	50	459.5854
30050	195489	50	428.2174
30055	88103	50	530.1634
30060	195490	50	436.0594
30065	183409	50	569.3734
30070	183410	50	843.8434
30075	196546	50	937.9474
30080	67468	50	726.2134
30085	195488	50	828.1594
30090	196559	50	1251.6274
30095	183411	50	1282.9954
30100	93158	50	1232.0224
30105	183413	50	1792.7254
30110	67207	50	1604.5174
30115	196341	50	2851.3954
30120	67206	50	4323.06688
30125	71055	50	5224.89688
30130	205630	50	6999.8134
30135	202463	18	624.2674
35005	168902	50	938.81608
35010	87796	50	979.06608
35015	218051	50	1244.71608
35020	95164	50	1945.06608
35025	94295	50	2532.71608
40005	177225	25	1544.6716
40010	177226	25	1975.3834
40015	177227	50	3872.4694
40020	191494	50	4515.6874
40025	177229	50	5044.9174
40030	195383	50	10744.3174
40035	163854	50	11802.7774
40040	218221	50	3782.9074
40045	212075	15	4987.9234
40050	212085	15	5044.9174
40055	215988	50	6754.7374
40060	214042	50	1665.9874
40065	201222	20	4800.6574
40070	201221	50	648.2374
40075	201217	10	710.44228
40080	201218	10	241.5445
40085	212569	50	102.1494
40090	221320	50	155.6464
40095	212568	50	94.5814
40100	210325	25	11779.62688
40105	222252	50	12105.30688
40110	222680	25	14792.16688
40115	222599	25	14629.32688
40120	222601	25	16094.88688
40125	222681	50	18411.43244
40130	222683	50	20219.62408
40135	204497	25	30506.22688
40140	194827	25	69253.19068
40145	194839	25	60923.92468
40150	194840	25	67170.87418
50005	161220	50	351.14295
50010	161221	50	351.14295
50015	222978	50	396.3276
50020	222979	50	396.3276
50025	161222	50	0
50030	161223	50	0
50035	161228	50	0
50040	161227	50	0
50045	161226	50	0
50050	161225	50	0
50055	213099	250	0
50060	213123	250	0
50065	213895	15	2613.1366
50070	213894	15	2613.1366
50075	213431	10	8163.8209
50080	213435	10	8163.8209
50085	213893	10	10631.2747
50090	213892	10	10631.2747
60005	144817	75	355.20015
60010	72414	75	387.4404
60015	160268	25	605.5954
60020	201075	25	912.59825
60025	174515	25	1003.1366
60030	210382	50	-2.3084
60035	210383	50	-2.3084
60040	216369	50	3627.67708
60045	195404	50	1804.9166
70005	215449	50	1027.4476
70010	215436	50	1220.6476
70015	215341	50	1478.2476
80005	176064	10	4422.579
80010	176065	10	7079.079
