10005	204626	50	663.39156	MLM2007744843	1
10010	93452	80	428.13156	MLM1959030721	1
10015	205624	80	569.28756	MLM2585843198	1
10020	170087	80	945.70356	MLM2255983486	1
10021	232183	50	937.88708   MLM2200130517   1
10025	166480	50	1431.90756	MLM1917768467	1
10030	194937	80	1604.43156	MLM1904701497	1
10035	170112	80	1463.27556	MLM1910565597	1
10040	167894	80	1996.53156	MLM2329807582	1
10045	229788	80	1408.38156	MLM2131972385	1
10050	165067	80	2762.551738	MLM2329799938	1
10055	231132	50	1799.500388	MLM2302517936	1
10060	224964	50	2565.807356	MLM2840075786	0
10065	207706	200	2250.709238	MLM2386675656	1
10070	217337	200	2196.698043	    NULL	    NULL
10075	209383	50	4102.004188	MLM1959731379	0
10080	219865	80	3583.98808	MLM2592843626	0
10085	224263	50	3455.507738	MLM2012784123	0
10090	229786	50	2345.366688	MLM2012837503	1
10095	229785	50	2438.966688	MLM3218624608	1
10100	217338	80	2665.166688	MLM2302387572	0
10105	211334	80	6976.196688	MLM2302510068	0
10110	231491	100	2762.551738	MLM3386059896	1
11005	216400	50	6626.82576	MLM3351802152	1
11010	2239	50	10916.82576	MLM2138724009	1
15005	188627	50	6926.0124	MLM3334164320	0
15010	188913	50	13406.0124	MLM3334085770	0
15015	199544	50	17051.0124	MLM3350418380	0
20005	144592	50	330.45156	MLM1965559643	1
20010	144593	50	447.23956	MLM2010176907	1
20015	144594	50	622.42156	MLM2010189695	1
20020	78223	50	455.58156	MLM2010178287	1
20025	78224	50	730.86756	MLM2010267621	1
20030	78225	50	830.97156	MLM2010267623	1
20035	190733	50	1139.62556	MLM2010812297	1
20040	190734	50	1356.51756	MLM2010712025	1
20045	223770	50	1623.46156	MLM2010812307	1
20050	163430	50	1706.88156	MLM2006801275	1
20055	144597	50	1890.40556	MLM2006878087	1
20060	144598	50	2466.00356	MLM2006893123	1
20065	163032	25	5577.56956	MLM2792767226	1
20070	163033	25	8338.77156	MLM2002492825	1
20075	163034	25	8864.31756	MLM2137379135	1
20080	81070	25	580.71156	MLM2792970126	0
20085	78229	25	125.26956	MLM2792996522	1
20090	200688	25	634.13156	MLM2848876400	1
